for the against side to against,for the for side to for,from the against side to for,from the against side to undecided,from the for side to against,from the for side to undecided,from undecided to against,from undecided to for,post-debate-against,post-debate-for,post-debate-undecided,pre-debate-against,pre-debate-for,pre-debate-undecided,undecided to undecided,url,winner,id
55,36,0,0,9,0,0,0,64,36,0,55,45,0,0,https://www.intelligencesquaredus.org/debates/no-fracking-way-natural-gas-boom-doing-more-harm-good,against,d20120701
12,29,49,0,0,2,0,6,12,84,4,61,31,8,2,https://www.intelligencesquaredus.org/debates/ban-college-football,for,d20120508
17,50,0,17,17,0,0,0,33,50,17,33,67,0,0,https://www.intelligencesquaredus.org/debates/when-it-comes-politics-internet-closing-our-minds,undecided,d20120417
0,50,29,0,7,0,0,14,7,93,0,29,57,14,0,https://www.intelligencesquaredus.org/debates/obesity-governments-business,for,d20120207
0,33,0,0,33,0,33,0,67,33,0,0,67,33,0,https://www.intelligencesquaredus.org/debates/un-should-admit-palestine-full-member-state,against,d20120110
7,57,20,0,2,2,0,11,9,87,4,26,61,13,2,https://www.intelligencesquaredus.org/debates/world-would-be-better-without-religion,for,d20111115
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/congress-should-pass-obamas-jobs-plan-piece-piece,undecided,d20111025
8,44,32,0,0,0,0,16,8,92,0,40,44,16,0,https://www.intelligencesquaredus.org/debates/too-many-kids-go-college,for,d20111012
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/grandmas-benefits-imperil-juniors-future,undecided,d20111004
5,38,38,0,3,0,3,14,11,89,0,43,41,16,0,https://www.intelligencesquaredus.org/debates/men-are-finished,for,d20110920
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/its-time-end-war-terror,undecided,d20110907
0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/freedom-press-does-not-extend-state-secrets,against,d20110608
33,0,0,0,33,33,0,0,67,0,33,33,67,0,0,https://www.intelligencesquaredus.org/debates/clean-energy-can-drive-americas-economic-recovery,against,d20110510
50,50,0,0,0,0,0,0,50,50,0,50,50,0,0,https://www.intelligencesquaredus.org/debates/dont-give-us-your-tired-your-poor-your-huddled-masses,undecided,d20110503
0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,https://www.intelligencesquaredus.org/debates/its-time-clip-americas-global-wings,against,d20110405
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/china-does-capitalism-better-america,undecided,d20110315
0,70,20,0,0,0,0,10,0,100,0,20,70,10,0,https://www.intelligencesquaredus.org/debates/two-party-system-making-america-ungovernable,for,d20110215
33,0,0,0,0,0,33,0,67,0,33,33,0,67,33,https://www.intelligencesquaredus.org/debates/repeal-obamacare,against,d20110111
